model,data,prompt,accuracy (test),accuracy (validation)
roberta-base,sat,what-is-to,36.49851632047478,35.13513513513514
roberta-base,sat_full,as-what-same,36.36363636363637,
roberta-base,sat_full,is-to-as,36.36363636363637,
roberta-base,sat_full,is-to-what,36.36363636363637,
roberta-base,sat_full,rel-same,36.36363636363637,
roberta-base,sat_full,she-to-as,36.36363636363637,
roberta-base,sat_full,what-is-to,36.36363636363637,
roberta-base,u2,as-what-same,42.10526315789473,33.33333333333333
roberta-base,u2,is-to-as,42.10526315789473,33.33333333333333
roberta-base,u2,is-to-what,42.10526315789473,33.33333333333333
roberta-base,u2,rel-same,42.10526315789473,33.33333333333333
roberta-base,u2,she-to-as,42.10526315789473,33.33333333333333
roberta-base,u2,what-is-to,42.10526315789473,33.33333333333333
roberta-base,u4,as-what-same,43.28703703703704,39.58333333333333
roberta-base,u4,is-to-as,43.28703703703704,39.58333333333333
roberta-base,u4,is-to-what,43.28703703703704,39.58333333333333
roberta-base,u4,rel-same,43.28703703703704,39.58333333333333
roberta-base,u4,she-to-as,43.28703703703704,39.58333333333333
roberta-base,u4,what-is-to,43.28703703703704,39.58333333333333
roberta-large,sat,as-what-same,40.0593471810089,45.94594594594595
roberta-large,sat,is-to-as,40.0593471810089,45.94594594594595
roberta-large,sat,is-to-what,40.0593471810089,45.94594594594595
roberta-large,sat,rel-same,40.0593471810089,45.94594594594595
roberta-large,sat,she-to-as,40.0593471810089,45.94594594594595
roberta-large,sat,what-is-to,40.0593471810089,45.94594594594595
roberta-large,sat_full,as-what-same,40.64171122994652,
roberta-large,sat_full,is-to-as,40.64171122994652,
roberta-large,sat_full,is-to-what,40.64171122994652,
roberta-large,sat_full,rel-same,40.64171122994652,
roberta-large,sat_full,she-to-as,40.64171122994652,
roberta-large,sat_full,what-is-to,40.64171122994652,
roberta-large,u2,as-what-same,50.43859649122807,41.66666666666667
roberta-large,u2,is-to-as,50.43859649122807,41.66666666666667
roberta-large,u2,is-to-what,50.43859649122807,41.66666666666667
roberta-large,u2,rel-same,50.43859649122807,41.66666666666667
roberta-large,u2,she-to-as,50.43859649122807,41.66666666666667
roberta-large,u2,what-is-to,50.43859649122807,41.66666666666667
roberta-large,u4,as-what-same,49.76851851851852,54.166666666666664
roberta-large,u4,is-to-as,49.76851851851852,54.166666666666664
roberta-large,u4,is-to-what,49.76851851851852,54.166666666666664
roberta-large,u4,rel-same,49.76851851851852,54.166666666666664
roberta-large,u4,she-to-as,49.76851851851852,54.166666666666664
roberta-large,u4,what-is-to,49.76851851851852,54.166666666666664
